text,label
I’ll get the job—I have all the qualifications they listed.,Optimism Bias
"I feel like I’m always the one who gets hurt, so I should stop trusting people.",Emotional Reasoning
"I’ve already spent so much time on this relationship, I can’t just end it, even if it’s not making me happy.",Sunk Cost Fallacy
"I was gonna stick with my usual route to work, but after hearing everyone complain about traffic and switch to the highway, I decided to try it too.",Bandwagon Effect
I got the promotion because I’m the hardest worker in the office. They passed me over last year because my boss plays favorites.,Self-Serving Bias
"I knew that investment was too good to be true. All the signs were there, but I ignored them.",Confirmation Bias
"I saw a flight for $500 first, so now anything under $400 feels like a great deal, even if it’s not the best time to fly.",Anchoring Bias
I haven’t gotten a like on my new post in 30 minutes. No one cares about what I have to say.,Jumping to Conclusions
"If I don’t finish this report tonight, my team will fail, and the company will go under.",Catastrophizing
I missed one workout this week—now I'm completely out of shape and it's all downhill from here.,Black-or-White Thinking
"I have a tiny cough; it’s definitely pneumonia, and I’ll be hospitalized for weeks.",Catastrophizing
"She didn’t laugh at my joke, so she must think I’m not funny.",Labeling
I don’t need to study the menu; I always pick the right thing.,Optimism Bias
"I don’t like the new music genre my friends are into, but since they all say it’s the best, I’ve been listening to it more to understand.",Bandwagon Effect
"I was happy with my old car, but after seeing all the commercials and my friends switching to electric, I’m starting to feel outdated.",Bandwagon Effect
I didn’t get a perfect score—my teacher thinks I’m stupid and won’t recommend me.,Catastrophizing
"I’ve already spent so much on this hobby, I can’t quit now, even if I’ve lost interest.",Sunk Cost Fallacy
"I’ve been trying to fix this relationship for so long, I can’t just walk away now.",Sunk Cost Fallacy
My partner is distant. It’s because I haven’t been romantic enough lately.,Personalization
My stomach is growling. Everyone in this meeting can hear it and thinks I’m gross.,Jumping to Conclusions
"I shouldn’t have to ask for what I want. If they cared, they’d just give it to me.",Should Statements
"My first serious relationship ended badly, so now I assume every new person I date is going to hurt me the same way.",Anchoring Bias
"I don’t feel like my opinions matter, so I won’t share them anymore.",Emotional Reasoning
"I don’t feel confident in my body right now, so I must look terrible.",Emotional Reasoning
He didn’t smile at me—he must be secretly plotting to get me fired.,Catastrophizing
"I ate one slice of cake, and now my diet is completely ruined.",Overgeneralization
"He didn’t remember our anniversary, so he doesn’t love me.",Labeling
Why did I say that in the meeting? I should’ve just kept my mouth shut like usual.,Should Statements
"My ex always took forever to reply to texts, so now with my new partner, even a 20-minute delay makes me anxious, like they’re losing interest.",Anchoring Bias
"My coworker says I’m too critical, but if I don’t point out the flaws, nothing will ever improve.",Confirmation Bias
"She didn’t ask about my weekend, so she’s not a real friend.",Labeling
I’ll lose the weight after the holidays—I just need to enjoy myself now.,Optimism Bias
My boss didn’t smile when I walked in. I’m getting fired soon.,Jumping to Conclusions
"I have a small bruise; it’s definitely leukemia, not just a bump.",Catastrophizing
I missed one workout; I’m going to get out of shape and never be healthy again.,Catastrophizing
My book became a bestseller because I’m a literary prodigy. The critics panned it because they’re jealous of my success.,Self-Serving Bias
"I’ve been trying to make this recipe work for hours, so I can’t just throw it out now.",Sunk Cost Fallacy
I shouldn’t have to remind my partner to do things. They should just know what I need.,Should Statements
My friend posted about their workout. They’re trying to show off how much better they are than me.,Jumping to Conclusions
"I don’t think the new app is useful, but since everyone in my group chat is using it, I downloaded it just to stay in the loop.",Bandwagon Effect
"I saw a gym membership for $50 first, so now anything over $30 feels like too much, even if it includes better amenities.",Anchoring Bias
I didn’t get the job. It’s because I didn’t impress them enough in the interview.,Personalization
"I should’ve started saving for retirement years ago. Now I’m way behind, and it’s too late.",Should Statements
"My neighbor didn’t wave back at me, so they must hate me.",Overgeneralization
"Every time I check the news, there’s another mass shooting. I’m canceling our family trip to the mall this weekend.",Availability Heuristic
"She didn’t text back for two hours, so she must hate me now.",Labeling
"I’ve already told everyone I’m going to this event, so I can’t cancel now, even if I don’t want to go.",Sunk Cost Fallacy
I either get an A on this test or I'm just not cut out for college at all.,Black-or-White Thinking
I got that scholarship because I’m brilliant. The other applicants only got in because of affirmative action.,Self-Serving Bias
"I’ve already spent so much on this subscription, I have to keep it, even if I don’t use it.",Sunk Cost Fallacy
I tried organizing my closet and it’s still a mess. I’m just disorganized.,Overgeneralization
"I’ve been trying to fix this relationship for years, so I can’t just walk away now, even if it’s toxic.",Sunk Cost Fallacy
"He didn’t laugh at my joke, so I guess I’m just not funny at all.",Black-or-White Thinking
"My computer crashed. It’s my fault for not updating it sooner, even though it’s old.",Personalization
The odds of my flight being delayed are low; I’ll book the tight connection.,Optimism Bias
"I failed one assignment, and now I’ll never graduate.",Labeling
"I’ve been dating him for two years, so even though he’s not right for me, I should probably stick it out.",Sunk Cost Fallacy
"I have a sore throat; it’s definitely strep, and I’ll be in the hospital by tomorrow.",Catastrophizing
"My first mentor was dismissive, so now I assume all mentors will be the same, even if they seem supportive.",Anchoring Bias
"I shouldn’t have to explain my boundaries. If they respected me, they’d just accept them.",Should Statements
"My first apartment had roaches, so now every time I see a place with even one bad review, I write it off entirely, even if it’s actually fine.",Anchoring Bias
"My savings account is low. If I had just budgeted better, this wouldn’t be happening—even though rent went up.",Personalization
"I didn’t get the apartment. It’s because I didn’t charm the landlord enough, not the competitive market.",Personalization
I don’t need to ask for clarification; I’m sure I understand the instructions.,Optimism Bias
"She didn’t sit with me at lunch, so I must be unlikable.",Labeling
Either I’m the best parent in the world or I’m completely screwing up my kids.,Black-or-White Thinking
"If I don’t get an A on this exam, I’ll never get into college and my life is ruined.",Catastrophizing
"I wasn’t planning to get a facial roller, but after seeing influencers and my friends use them, I bought one to try it out.",Bandwagon Effect
This mole looks fine; it’s probably just a freckle.,Optimism Bias
"The first time I tried a new hobby, I wasn’t good at it, so I quit immediately, even though I know practice makes progress.",Anchoring Bias
I didn’t save enough money this month—proof that I’m bad with finances.,Labeling
"I’ve been trying to fix this old laptop for days, so I can’t just buy a new one now.",Sunk Cost Fallacy
"I should be able to stick to a workout routine, but I always quit after a week.",Should Statements
"My coworker’s kid got into a fight at school, so I’m convinced my child is being bullied—even though they haven’t said anything.",Availability Heuristic
I have a tiny wrinkle; I’m aging too fast and will look like a grandma in a year.,Catastrophizing
I got an A on that test because I’m naturally smart. I failed the next one because the professor hates me.,Self-Serving Bias
"I ate one cookie; my diet is ruined, and I’ll gain 50 pounds by next week.",Catastrophizing
He’ll change his mind about the breakup—he just needs time to cool off.,Optimism Bias
She canceled our plans last minute—she’s obviously avoiding me and hates my guts.,Catastrophizing
"I read about a man who got electrocuted fixing a light switch, so I’m calling an electrician for every little thing now.",Availability Heuristic
My friend got into an argument with someone else. I should’ve been there to mediate; now it’s my responsibility.,Personalization
I don’t need to check the expiration date; the food looks fine.,Optimism Bias
"We’ve been arguing for hours, but I’m not backing down now—I’ve put too much energy into this already.",Sunk Cost Fallacy
My neighbor didn’t say hi. They must think I’m rude for not initiating conversation first.,Personalization
My partner didn’t compliment my outfit. They think I look bad.,Jumping to Conclusions
"My boss gave me feedback. They must think I’m not good at my job, even though it was minor.",Personalization
"My friend’s kid got a concussion from a bike ride, so I’m taking away my kid’s bike—no way I’m risking that.",Availability Heuristic
I either have a clean inbox or I’m completely disorganized and overwhelmed.,Black-or-White Thinking
"My friend’s kid got sick from a public pool, so I’m avoiding all of them—even if it’s the only way to cool off in the summer.",Availability Heuristic
"I should’ve visited my parents more often. Now it’s too late, and I’ll regret it forever.",Should Statements
"I feel like my coworkers think I’m lazy, so I must be.",Emotional Reasoning
She didn’t invite me to her party—I’m obviously not part of her friend group anymore.,Catastrophizing
I tripped walking into the room. Everyone saw and now they think I’m clumsy.,Jumping to Conclusions
My partner seems distant lately. It’s definitely because I’ve been too clingy.,Personalization
"If I don’t get this project done perfectly, my boss will think I’m incompetent.",Black-or-White Thinking
"I feel like my coworkers think I’m incompetent, so I must be.",Emotional Reasoning
My skin broke out. It’s my fault for not following a strict enough skincare routine.,Personalization
"My date said they’d call me tonight, but it’s 10 PM. They’re not interested.",Jumping to Conclusions
I tried running once and hated it. I’ll never be able to exercise regularly.,Overgeneralization
"The first time I tried a new recipe, it turned out badly, so now I stick to the same few meals, even though I want to branch out.",Anchoring Bias
This rash isn’t serious; it’ll clear up in a day or two.,Optimism Bias
He didn’t hold the door for me; what a rude person.,Labeling
"If I can't run a 5K by next month, I'll never be fit, and what's the point of even trying?",Black-or-White Thinking
My neighbor didn’t wave back. They probably think I’m rude or stuck-up.,Personalization
"I don’t feel like I’m good enough for my partner, so they’ll probably leave me.",Emotional Reasoning
"I don’t actually care about NFTs, but since my whole Discord server is trading them, I feel like I’m missing out on something big.",Bandwagon Effect
"My neighbor’s teenager got into drugs, so I’m searching my kid’s room every week—no way I’m letting that happen.",Availability Heuristic
"I’ve already waited in this line for 45 minutes—I’m not leaving now, even if it’s taking forever.",Sunk Cost Fallacy
"I have a small rash; it’s definitely a sign of a deadly disease, not just dry skin.",Catastrophizing
"I woke up feeling off today, so I bet I’m coming down with something.",Emotional Reasoning
"I read that article about how social media is good for mental health, but I’ve seen how it tears people apart. They’re just wrong.",Confirmation Bias
"I was happy with my old workout, but after seeing how many people at the gym are doing this new routine, I switched to match.",Bandwagon Effect
"If I don’t go to this party, they’ll think I’m antisocial. I should just suck it up and go.",Should Statements
I’m fluent in three languages because I’m a quick learner. I failed the fourth because the teacher didn’t explain anything.,Self-Serving Bias
"I don’t feel like I’m good at anything, so I’ll never succeed.",Emotional Reasoning
"I saw a post about someone getting a serious infection from a tattoo, so I’m never getting one—even if I’ve always wanted one.",Availability Heuristic
"I didn’t get a like on my post, so no one cares about what I have to say.",Overgeneralization
"I’ve already told everyone I’m running this marathon, so I have to do it, even if I’m not prepared.",Sunk Cost Fallacy
"I don’t care what the nutritionist says—I’ve been eating this way my whole life, and I’m fine.",Confirmation Bias
"I knew that relationship was doomed from the start. All the red flags were there, but I ignored them for too long.",Confirmation Bias
I won the debate because I’m the most articulate person in the room. I lost the next one because the moderator cut me off.,Self-Serving Bias
"He didn’t hold my hand in public, so he’s embarrassed by me.",Labeling
"I’ve been using this workout routine for months, so I should keep going, even if I’m not seeing results.",Sunk Cost Fallacy
My neighbor didn’t wave back when I said hello. They must be upset about the noise last weekend.,Jumping to Conclusions
"She didn’t invite me to her gathering, so I must not be important to her.",Black-or-White Thinking
"I didn’t get the lead role in the play, so I guess I’m just not talented.",Black-or-White Thinking
"He didn’t defend me in that argument, so he doesn’t have my back.",Labeling
I can’t believe I forgot her birthday. I should’ve set a reminder or something.,Should Statements
"I forgot to call my mom back, so now she probably thinks I don’t love her.",Black-or-White Thinking
"I can’t take a sick day. I should push through, even if I feel awful.",Should Statements
"I was happy with my old routine, but after seeing how many people swear by this new morning ritual, I’m trying to adopt it.",Bandwagon Effect
I got the investment because my pitch was flawless. They backed out because the market is too volatile right now.,Self-Serving Bias
"I left my phone at home today—ugh, I’m such a scatterbrain.",Labeling
"I’ve put so much time into learning this software, I can’t switch to something else just because it’s easier.",Sunk Cost Fallacy
I have a sore throat. It’s definitely strep.,Jumping to Conclusions
"I don’t care what the studies say, I’ve seen with my own eyes how sugar makes kids hyper. My nephew turns into a tornado after cake.",Confirmation Bias
"My doctor says I’m healthy, but I can feel when something’s off. They must not be running the right tests.",Confirmation Bias
I don’t need to wear sunscreen today—it’s only partly cloudy.,Optimism Bias
My boss didn’t say good morning. I must have done something wrong.,Jumping to Conclusions
"I should be able to cook a decent meal, but I always burn everything or order takeout.",Should Statements
"I missed one workout this week, and now I’ll never get in shape.",Labeling
"If I don’t get this promotion, it means I’m not good enough for this company.",Black-or-White Thinking
My coworker got a new project. They’re clearly trying to edge me out of my job.,Jumping to Conclusions
"The first time I tried a new skincare product, it broke me out, so now I’m hesitant to try anything new, even if it’s hypoallergenic.",Anchoring Bias
"My friend’s marriage ended because of social media, so I’m convinced my partner is hiding something if they’re on their phone too much.",Availability Heuristic
"My first client was difficult, so now I assume every new client will be the same, even if they seem easygoing.",Anchoring Bias
"He’ll pay me back soon; he’s just forgetful, not irresponsible.",Optimism Bias
"I don’t care how many people love that restaurant—every time I go, the service is slow and the food is overpriced.",Confirmation Bias
I either have a million followers on social media or I’m completely irrelevant.,Black-or-White Thinking
"I knew my car was making that noise for a reason—turns out it was the transmission, just like I suspected.",Confirmation Bias
"I shouldn’t feel this lonely. I have friends, so I should just be grateful.",Should Statements
"Every time I check my bank account, I get this sinking feeling that I’m going to end up broke.",Emotional Reasoning
I got the apartment because I’m the most responsible tenant they’ve ever had. They evicted me because the landlord is a slumlord.,Self-Serving Bias
"I can’t take a break right now. There’s too much to do, and I should be working harder.",Should Statements
"The first time I tried a new workout class, I felt out of place, so now I avoid group fitness, even though I know it gets easier.",Anchoring Bias
"If I don’t get this done today, I’ll never catch up and it’s all over.",Black-or-White Thinking
"I woke up feeling dread, so something bad is definitely going to happen today.",Emotional Reasoning
"I shouldn’t have to explain myself. If they really cared, they’d just understand.",Should Statements
"I don’t trust that new app everyone’s using. All my data’s going to get hacked, just like the last one.",Confirmation Bias
I don’t care what the data says—I know my gut is right about this. It’s never steered me wrong before.,Confirmation Bias
"I didn’t get the raise, which means I’m not valuable to the company.",Labeling
"My first coworker was lazy, so now I assume every new coworker will be the same, even if they seem hardworking.",Anchoring Bias
"I heard about a guy who got scammed on Venmo, so I’m only using cash now—even if it’s inconvenient.",Availability Heuristic
"He interrupted me once in a meeting, so he’s clearly disrespectful.",Labeling
I either ace this interview or I’ll never find a job I actually like.,Black-or-White Thinking
"I was gonna stick with my usual workout, but after seeing how many people at the gym are doing HIIT, I switched my routine to match.",Bandwagon Effect
I lost my keys for the third time this month—I’m such an idiot.,Labeling
"I read about a woman who got a blood clot from birth control, so I’m going off mine—even if it means dealing with worse periods.",Availability Heuristic
I sent a message to my group chat and no one’s replied in an hour. They all hate me now.,Jumping to Conclusions
"My kid is struggling in school. If I had been a better parent, this wouldn’t be happening.",Personalization
"My first coworker was super competitive, so now I assume everyone in my field is out to one-up me, even if they’re collaborative.",Anchoring Bias
My handmade jewelry sold out because it’s unique and high-quality. The next batch didn’t sell because people have no taste.,Self-Serving Bias
"I don’t feel like my partner is happy with me, so the relationship is failing.",Emotional Reasoning
My garden is thriving because I’m great with plants. The flowers died because the weather was terrible.,Self-Serving Bias
"I’ve already put so much effort into this friendship, I can’t just let it go, even if it’s one-sided.",Sunk Cost Fallacy
"I can’t just sit here and do nothing. I should be productive, even if I’m burned out.",Should Statements
I’ll start recycling next week; it’s not a big deal if I don’t today.,Optimism Bias
"I read one article about identity theft, and now I’m freezing all my credit cards and checking my bank statements every hour.",Availability Heuristic
I got the internship because I’m the most driven. They didn’t hire me because the company is cheap.,Self-Serving Bias
"She didn’t wave back, so she’s definitely snubbing me.",Labeling
"I’ve been learning this language for years, so I should keep going, even if I’m not making progress.",Sunk Cost Fallacy
"I forgot to buy milk again. I swear, I’m the most forgetful person alive.",Labeling
I don’t need to warm up before my run; I’ve never gotten injured before.,Optimism Bias
"I hate this book, but I’ve read 300 pages, so I guess I’ll finish it.",Sunk Cost Fallacy
"I didn’t stick to my budget, so I’ll never be financially stable.",Labeling
I didn’t get a response to my RSVP. They’re not planning on me showing up.,Jumping to Conclusions
"I feel like my career is going nowhere, so I should just accept that I’ll never advance.",Emotional Reasoning
"I told my partner we should save more, but they keep spending like nothing’s wrong. It’s like they don’t even care about our future.",Confirmation Bias
My kid didn’t make the team. The coach must think they’re terrible.,Jumping to Conclusions
"I didn’t get into my top-choice college, so my life is over.",Overgeneralization
I can’t just take a mental health day. I should push through and get things done.,Should Statements
I made one mistake in that presentation. My whole team thinks I’m incompetent now.,Jumping to Conclusions
"If I don’t get this done by tonight, I’ll never meet my goals.",Black-or-White Thinking
"The client didn’t respond to my email—this deal is dead, and my boss will blame me.",Catastrophizing
"I wasn’t going to join the gym, but after my coworker said everyone in the office is going, I signed up to avoid feeling left out.",Bandwagon Effect
"I’ve been waiting for this movie to come out for months, so I have to see it, even if the reviews are bad.",Sunk Cost Fallacy
My partner is working late. They must be avoiding me because I’ve been too needy.,Personalization
"He didn’t help me with the dishes, so he’s selfish.",Labeling
I can't believe I ate that whole pizza. I should've just stuck to my salad like I planned.,Should Statements
"He didn’t ask about my day, so he’s selfish.",Labeling
"I heard about a family who lost everything in a wildfire, so I’m packing go-bags for every room in the house—just in case.",Availability Heuristic
I shouldn’t need caffeine to function. I should just wake up early and be energetic like normal people.,Should Statements
"I read three posts this morning about how social media is destroying relationships, and honestly, it’s so true—my cousin’s marriage fell apart right after she got addicted to TikTok.",Confirmation Bias
"I don’t feel like I fit in with this group, so they must not actually want me here.",Emotional Reasoning
"I’ve already spent so much on this wedding dress, I can’t back out of the wedding now.",Sunk Cost Fallacy
"I’ve already spent so much time planning this trip, I can’t back out now, even if I’m not excited about it anymore.",Sunk Cost Fallacy
"I don’t feel like I’m attractive, so no one will ever want to date me.",Emotional Reasoning
"I made one mistake at work, so I’m probably going to get fired.",Overgeneralization
"I’ve already put so much effort into this relationship, I can’t just walk away now, even if it’s not working.",Sunk Cost Fallacy
My friend is canceling plans again. I must be a boring person to be around.,Personalization
"The first time I tried a new hairstyle, it looked terrible, so now I stick to the same cut, even though I’m curious about changing it.",Anchoring Bias
I should’ve invested in Bitcoin when I had the chance. Now I’ll never get rich.,Should Statements
My kid’s teacher emailed asking to talk. They’re going to tell me my child is failing.,Jumping to Conclusions
I should’ve known better than to trust them. I always mess up relationships like this.,Should Statements
My stomach hurts a little. It’s probably cancer.,Jumping to Conclusions
"I’ve been working on this painting for weeks, so I can’t just abandon it now, even if I don’t like it.",Sunk Cost Fallacy
"He didn’t help me move, so he’s a bad friend.",Labeling
"My neighbor’s house got broken into while they were on vacation, so I’m installing a security system—even if it’s overkill.",Availability Heuristic
"I should be able to stick to a diet, but I always give in to cravings.",Should Statements
"The first time I tried a new sport, I was terrible, so now I avoid it, even though I know I’d improve with practice.",Anchoring Bias
"I wasn’t planning to get a new hair product, but after seeing how many influencers and my friends recommend it, I added it to my routine.",Bandwagon Effect
"I wasn’t going to get a new phone, but after seeing how many people in my family upgraded, I started researching models.",Bandwagon Effect
"I got one bad review online—my business is doomed, and I’ll have to close it.",Catastrophizing
My coworker got the lead on the project. It’s because I didn’t express interest strongly enough.,Personalization
I either have a spotless house or I’m a total slob with no self-control.,Black-or-White Thinking
"I got lost on my way to the store, so I must have no sense of direction.",Overgeneralization
"I feel like my friends are avoiding me, so they must be mad at me.",Emotional Reasoning
"The first time I tried a new hobby, I spent a ton of money on supplies, so now I’m hesitant to try anything else, even if it’s cheap.",Anchoring Bias
"I just watched a documentary about food poisoning, so I’m throwing out everything in my fridge—even the stuff that’s still good.",Availability Heuristic
"She didn’t compliment my outfit, so she must think it looks bad.",Labeling
"I don’t even like this TV show, but I’ve watched five seasons, so I can’t stop now.",Sunk Cost Fallacy
"I didn’t get the job I applied for, which means I’ll never find a good career.",Overgeneralization
I didn’t get invited to that happy hour. They don’t want me there.,Jumping to Conclusions
"I saw a pair of jeans for $80 first, so when I found the same ones for $50, I bought three pairs—only to realize I don’t even like how they fit.",Anchoring Bias
"I’ve been trying to get this promotion for years, so I can’t give up now, even if it’s not happening.",Sunk Cost Fallacy
"I was gonna keep my old skincare products, but after seeing how many people switched to this new brand, I ordered a few items to try.",Bandwagon Effect
"I don’t think the new TV show is that good, but since everyone at school is talking about it, I binge-watched it to join the conversation.",Bandwagon Effect
I don’t need to practice my speech; I’m a natural at public speaking.,Optimism Bias
"I feel like my finances are a disaster, even though my accountant says I’m doing fine.",Emotional Reasoning
My podcast took off because I’m a great interviewer. It’s not growing now because the algorithm is against independent creators.,Self-Serving Bias
My relationship lasted so long because I’m a great partner. It ended because she was too needy.,Self-Serving Bias
"I feel like my life is out of control, so I’ll never get it together.",Emotional Reasoning
"I had one bad experience with a restaurant, so I’ll never go back there again.",Overgeneralization
"My cousin’s car got totaled in a hailstorm, so I’m parking mine in the garage 24/7—even if it’s a pain.",Availability Heuristic
My coworker took credit for my idea. They’re trying to sabotage my career.,Jumping to Conclusions
"My stomach has been acting up. I must have eaten something wrong, even though I’ve been careful.",Personalization
My friend is quieter than usual. I must have said something to hurt their feelings.,Personalization
"If I don’t get this raise, it means my boss doesn’t value me at all.",Black-or-White Thinking
"My friend’s kid got into Harvard, and now I’m convinced my child is falling behind because they’re not in every AP class.",Availability Heuristic
She didn’t text me back in five minutes; she must hate me and never wants to talk again.,Catastrophizing
"My friend’s kid got bullied at school, so I’m homeschooling my child—no way I’m sending them into that environment.",Availability Heuristic
I didn’t get a reply to my email. I must have worded it poorly or offended them.,Personalization
"If I don’t get this recipe right on the first try, I’m a failure in the kitchen.",Black-or-White Thinking
"I got a flat tire on my way to work, so my whole day is ruined now.",Overgeneralization
"I saw a laptop for $1,500 first, so now anything under $1,200 feels like a bargain, even if it’s not the right specs for me.",Anchoring Bias
My date didn’t hold my hand. They’re not attracted to me.,Jumping to Conclusions
I tried learning Spanish for a month and still can’t speak it. I’m just bad at languages.,Overgeneralization
"I had one bad experience with a doctor, so I’ll never trust medical advice again.",Overgeneralization
"My partner says I’m too controlling, but if I don’t handle the finances, we’ll end up broke. They just don’t get it.",Confirmation Bias
"I’ve already put so much effort into this friendship, I can’t just let it go, even if it’s toxic.",Sunk Cost Fallacy
I left the oven on for two minutes; the house is going to burn down while we’re out.,Catastrophizing
"I should be able to handle this stress better. Other people have it worse, so why can’t I cope?",Should Statements
She’ll come around eventually; I don’t need to apologize for that argument.,Optimism Bias
"I don’t like the taste of matcha, but since it’s in every café and my friends keep posting about it, I ordered a latte to try again.",Bandwagon Effect
"I’ve already spent so much time on this hobby, I can’t just quit now, even if I’m not enjoying it.",Sunk Cost Fallacy
"My friend canceled plans last minute, so they must not want to hang out with me anymore.",Overgeneralization
"I didn’t get a thank-you note, so they must not appreciate me.",Overgeneralization
"All the reviews say this skincare routine works, but mine’s breaking out worse than ever. Must be something wrong with my skin, not the products.",Confirmation Bias
"My first teacher was strict, so now I assume all teachers will be the same, even if they’re actually lenient.",Anchoring Bias
"I didn’t get the promotion, which means I’ll never be good enough for this company.",Labeling
"If I don’t make partner at this firm, my whole career has been a waste.",Black-or-White Thinking
"I don’t even like avocado toast, but since it’s all over brunch menus and my friends post about it constantly, I ordered it anyway.",Bandwagon Effect
I shouldn’t need to vent to my friends. I should handle my problems on my own.,Should Statements
"I read about a woman who got a blood clot from sitting too long, so I’m setting a timer to stand up every 20 minutes—no exceptions.",Availability Heuristic
"I had one bad experience with a therapist, so therapy must not work for me.",Overgeneralization
I didn’t clean the kitchen perfectly; my roommate will think I’m lazy and kick me out.,Catastrophizing
He didn’t say goodbye properly—he’s mad at me and will never speak to me again.,Catastrophizing
"My first partner was clingy, so now I assume every new person I date will be the same, even if they’re independent.",Anchoring Bias
My partner forgot our anniversary. It’s because I haven’t been affectionate enough lately.,Personalization
"My team lost one game, so we’re clearly not cut out for this league.",Overgeneralization
I’ll get a promotion soon—I’ve been here longer than most of the team.,Optimism Bias
I can’t just relax on the weekend. I should be using every minute to get ahead.,Should Statements
The boss glanced at me weirdly in the meeting; I’m definitely getting fired tomorrow.,Catastrophizing
I don’t care what the critics say—that movie was terrible. Anyone with taste would agree.,Confirmation Bias
"My first car was a clunker, so now every used car feels like a potential money pit, even if the inspection says otherwise.",Anchoring Bias
"If I don’t get this done perfectly, it’s not even worth doing.",Black-or-White Thinking
My coworker didn’t say hi when I walked in. I must have done something to annoy them.,Jumping to Conclusions
"My partner says I’m too rigid, but if I don’t have a plan, everything falls apart. They just don’t understand.",Confirmation Bias
"I was gonna wear my favorite sneakers, but then I saw everyone else in loafers, so I switched last minute.",Bandwagon Effect
I should’ve known better than to expect things to go smoothly. They never do for me.,Should Statements
"I’ve already put so much work into this essay, I can’t start over, even if it’s not good.",Sunk Cost Fallacy
"My doctor says my blood pressure is fine, but I can feel it when it spikes. They must not be checking it right.",Confirmation Bias
My relationship ended because she’s too insecure to handle a strong partner. I’ve never been the problem in any breakup.,Self-Serving Bias
I left my wallet at home. My card’s definitely going to get declined and everyone will judge me.,Jumping to Conclusions
My sibling didn’t call me back. They’re mad about that argument we had last month.,Jumping to Conclusions
I don’t trust that new therapy everyone’s trying. All the ‘breakthroughs’ turn out to be hype.,Confirmation Bias
I forgot to charge my phone—now I’m the most disorganized person ever.,Labeling
My partner is snappy today. It’s definitely because I’ve been too negative lately.,Personalization
I don’t need to save for retirement yet—I’ll figure it out later when I’m making more money.,Optimism Bias
"I don’t feel like I belong in this family, so maybe I was adopted or something.",Emotional Reasoning
I’m the best parent in the group because I’m patient and loving. My kid acted out at the party because the other parents don’t discipline theirs.,Self-Serving Bias
"I wasn’t planning to get a dog, but now that all my neighbors have one, I’m starting to feel like I’m the odd one out.",Bandwagon Effect
My business succeeded because I’m a natural leader. It failed because the economy is in the toilet.,Self-Serving Bias
I shouldn’t need to write things down. I should just remember everything like a normal person.,Should Statements
"All the experts say remote work is the future, but my team’s productivity has tanked since we went virtual. They’re just wrong.",Confirmation Bias
"My coworker got food poisoning from the office cafeteria last month, so I’m bringing my lunch from home every day now—no exceptions.",Availability Heuristic
I can’t believe I’m still struggling with this. I should’ve figured it out by now.,Should Statements
"If I don’t get eight hours of sleep tonight, I’ll be useless tomorrow.",Black-or-White Thinking
"If my presentation isn't flawless tomorrow, I might as well quit my job now.",Black-or-White Thinking
"I feel like I’m always the last one picked for things, so I must be unlikable.",Emotional Reasoning
